CO_CATEGAD,CO_TURNO_GRADUACAO,QE_I01_Outro,QE_I01_Separado,QE_I01_Solteiro,QE_I01_Viúvo,QE_I01_nan,"QE_I08_Até 1,5 Salário Mínimo","QE_I08_De 1,5 a 3 Salários Mínimos",QE_I08_De 10 a 30 Salário Mínimos,"QE_I08_De 3 a 4,5 Salários Mínimos","QE_I08_De 4,5 a 6 Salário Mínimos",QE_I08_De 6 a 10 Salário Mínimos,QE_I08_nan,QE_I10_Trabalha eventualmente,QE_I10_Trabalho 21h/39h semanais,QE_I10_Trabalho 40h +,QE_I10_Trabalho até 20h semanais,QE_I10_nan,QE_I05_Fundamental I,QE_I05_Fundamental II,QE_I05_Nenhuma,QE_I05_Pós-graduação,QE_I05_Superior,QE_I05_nan,QE_I03_Brasileira naturalizada,QE_I03_Estrangeira,QE_I03_nan,QE_I09_Possui renda/Outros,QE_I09_Possui renda/Sustento,QE_I09_Possui renda/principal,QE_I09_Sem renda/Outros,QE_I09_nan,TP_SEXO_M,QE_I17_Privada,QE_I17_Pública,QE_I17_nan,QE_I04_Fundamental I,QE_I04_Fundamental II,QE_I04_Nenhuma,QE_I04_Pós-graduação,QE_I04_Superior,QE_I04_nan,QE_I13_IC,QE_I13_Monitoria/Tutoria,QE_I13_Nenhum,QE_I13_Outro,QE_I13_PET,QE_I13_nan,QE_I21_Sim,QE_I21_nan,QE_I11_Não se aplica,QE_I11_Sim,QE_I11_nan,QE_I15_IC,QE_I15_Monitoria/Tutoria,QE_I15_Não,QE_I15_Outro,QE_I15_PET,QE_I15_nan,QE_I12_Moradia,QE_I12_Moradia e Alimentação,QE_I12_Nenhum,QE_I12_Outro,QE_I12_Permanência,QE_I12_nan,QE_I02_Branca,QE_I02_Indígena,QE_I02_Parda,QE_I02_Preta,QE_I02_nan,NU_IDADE,NT_GER
5,2.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,-0.877660425665392,0.8059427680009098
5,2.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,-0.877660425665392,-0.2565484275344237
5,4.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,-0.23380288326866794,0.6324748177094264
5,4.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,-0.55573165446703,-0.010802164621489575
5,2.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,-0.716696040066211,-0.9142810723896301
5,2.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.2490902735288751,-0.7841801096710176
5,2.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,-0.55573165446703,-1.8538991364684962
5,4.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.2490902735288751,-0.046941320932215196
5,4.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,-0.55573165446703,-0.03971348967006997
5,2.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-0.23380288326866794,-0.9504202287003557
5,4.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,-0.716696040066211,0.762575780428039
5,4.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.7319834303264182,-0.9142810723896301
5,4.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-0.23380288326866794,1.3841692689725198
5,4.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-0.716696040066211,-0.5312060154959383
5,2.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.08812588792969409,-0.5312060154959383
5,4.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,-0.716696040066211,1.2612961375160523
5,4.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,2.6635560575165904,0.8565375868359253
5,2.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,-0.716696040066211,-2.1502402182164464
5,2.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,-0.55573165446703,-1.4708240795748047
5,4.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,-0.55573165446703,-1.5069632358855303
5,2.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,-0.877660425665392,-1.5069632358855303
5,4.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,-0.877660425665392,-0.8130914347195984
5,4.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,-0.07283849766948693,-1.2973561292833216
5,2.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,-0.07283849766948693,-0.5890286655930995
